Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,119.370003,120.110001,118.709999,118.82,105.74665800000001,250300
2015-09-21,119.589996,120.019997,118.690002,119.43,106.289528,173800
2015-09-22,117.68,117.879997,116.010002,117.58000200000001,104.64308199999999,372700
2015-09-23,117.309998,117.739998,116.610001,117.510002,104.58078,231300
2015-09-24,117.519997,117.739998,116.0,117.550003,104.616394,535800
2015-09-25,119.279999,119.989998,118.160004,118.510002,105.470757,292400
2015-09-28,117.559998,117.57,114.730003,115.220001,103.971024,311700
2015-09-29,113.980003,114.480003,113.160004,114.25,103.095718,345800
2015-09-30,116.239998,117.400002,116.099998,117.279999,105.829903,235100
2015-10-01,118.489998,118.870003,117.230003,118.339996,106.78640700000001,278000
2015-10-02,119.309998,120.82,118.58000200000001,120.730003,108.943077,557000
2015-10-05,121.790001,122.910004,121.760002,122.32,110.377853,338300
2015-10-06,120.91999799999999,121.260002,120.370003,120.91999799999999,109.11451699999999,350100
2015-10-07,122.540001,123.190002,122.190002,122.709999,110.729759,240700
2015-10-08,122.779999,123.709999,122.110001,123.480003,111.42459099999999,254200
2015-10-09,123.980003,124.589996,122.33000200000001,122.599998,110.630508,398800
2015-10-12,122.75,123.440002,122.589996,123.110001,111.09071399999999,314500
2015-10-13,121.489998,121.949997,120.860001,121.07,109.249886,341400
2015-10-14,121.0,121.309998,119.900002,120.050003,108.32946799999999,187400
2015-10-15,121.739998,122.550003,121.25,122.440002,110.48613,263300
2015-10-16,123.639999,124.150002,123.220001,123.959999,111.857727,265200
2015-10-19,123.349998,123.57,122.82,123.550003,111.48776200000002,164700
2015-10-20,122.68,122.900002,122.160004,122.209999,110.27858,244100
2015-10-21,124.040001,124.849998,123.599998,123.699997,111.623108,162900
2015-10-22,124.730003,125.58000200000001,124.449997,125.230003,113.003754,271200
2015-10-23,125.400002,125.959999,125.0,125.739998,113.463936,215200
2015-10-26,125.660004,125.839996,125.0,125.33000200000001,113.093979,218500
2015-10-27,124.889999,125.199997,124.519997,124.83000200000001,112.642799,206000
2015-10-28,125.33000200000001,126.449997,124.93,126.360001,114.02341499999999,193100
2015-10-29,123.33000200000001,123.410004,122.459999,123.239998,111.208031,264700
2015-10-30,123.220001,123.559998,122.589996,122.620003,110.648552,196600
2015-11-02,123.18,123.510002,122.860001,123.300003,111.262169,573400
2015-11-03,123.349998,123.519997,122.860001,123.389999,111.34338400000001,569600
2015-11-04,123.480003,123.889999,123.07,123.559998,111.496788,298000
2015-11-05,124.650002,125.190002,124.599998,124.860001,112.669868,319600
2015-11-06,123.16999799999999,123.190002,122.290001,122.91999799999999,110.91925800000001,277500
2015-11-09,122.91999799999999,122.989998,121.709999,122.220001,110.287598,189000
